Shazam Top 200 Global Chart: The most Shazamed tracks in the world
"Wednesday, 7 June 2023 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jain","Makeba"
2,"JIN","The Astronaut"
3,"Dj Belite","All Eyes on Me"
4,"David Kushner","Daylight"
5,"Lil Durk","All My Life (feat. J. Cole)"
6,"Rema","Calm Down"
7,"Teya Dora","Džanum"
8,"Loreen","Tattoo"
9,"Metro Boomin, Swae Lee & NAV","Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse]"
10,"FIFTY FIFTY","Cupid (Twin Ver.)"
11,"Iniko","Jericho"
12,"Metro Boomin, A$AP Rocky & Roisee","Am I Dreaming"
13,"Miley Cyrus","Flowers"
14,"Calvin Harris & Ellie Goulding","Miracle"
15,"David Guetta, Anne-Marie & Coi Leray","Baby Don't Hurt Me"
16,"Bad Bunny","WHERE SHE GOES"
17,"Kendrick Lamar","Money Trees (feat. Jay Rock)"
18,"Libianca","People"
19,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
20,"Billie Eilish","hotline (edit)"
21,"Dave & Central Cee","Sprinter"
22,"Purple Disco Machine & Kungs","Substitution"
23,"Tom Odell","Another Love"
24,"Metro Boomin & James Blake","Hummingbird"
25,"Ayra Starr","Rush"
26,"Christopher","Honey, I’m So High (From the Netflix Film ‘A Beautiful Life’)"
27,"Metro Boomin, The Weeknd & Diddy","Creepin' (Remix) [feat. 21 Savage]"
28,"Eslabon Armado & Peso Pluma","Ella Baila Sola"
29,"Olivetheboy","Goodsin Speed Up"
30,"Rema","Charm"
31,"Toosii","Favorite Song"
32,"Lady Gaga","Bloody Mary"
33,"Ed Sheeran","Eyes Closed"
34,"Cat Stevens","Father and Son"
35,"Tiësto","Lay Low"
36,"Travis Scott","sdp interlude"
37,"INSTASAMKA","Отключаю телефон (Slowed)"
38,"NBSPLV","The Lost Soul Down"
39,"Victor Thompson","THIS YEAR (Blessings) [feat. Ehis 'D' Greatest]"
40,"Bizarrap & Peso Pluma","Peso Pluma: Bzrp Music Sessions, Vol. 55"
41,"The Moody Blues","Nights In White Satin"
42,"Christopher","Led Me To You (From the Netflix Film ‘A Beautiful Life’)"
43,"Yng Lvcas & Peso Pluma","La Bebe (Remix)"
44,"KALEO","Way Down We Go"
45,"JZyNO","Butta My Bread (feat. Lasmid)"
46,"David Guetta & Bebe Rexha","I'm Good (Blue)"
47,"Post Malone","Chemical"
48,"P!nk","TRUSTFALL"
49,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
50,"Metro Boomin & Future","Too Many Nights (feat. Don Toliver)"
51,"Dj Bentoa","Yeshua (dance cruise)"
52,"KAROL G & Shakira","TQG"
53,"Marshmello & Manuel Turizo","El Merengue"
54,"Grupo Frontera & Bad Bunny","un x100to"
55,"Riar Saab & Abhijay Sharma","Obsessed"
56,"Kali","Area Codes"
57,"DYSTINCT","Tek Tek (feat. MHD)"
58,"Haddaway","What Is Love"
59,"Aaron Smith","Dancin (feat. Luvli) [Krono Remix]"
60,"Metro Boomin, Travis Scott & Young Thug","Trance"
61,"Coi Leray","Players"
62,"Tears for Fears","Everybody Wants To Rule The World"
63,"KCee","Ojapiano"
64,"Kali Uchis","Moonlight"
65,"Christopher","A Beautiful Life (From the Netflix Film ‘A Beautiful Life’)"
66,"Adele","Set Fire to the Rain"
67,"Morgan Wallen","Last Night"
68,"Luke Combs","Fast Car"
69,"Davido","UNAVAILABLE (feat. Musa Keys)"
70,"RAYE & 070 Shake","Escapism."
71,"Mahmoud Al Turky","Asheq Majnoon"
72,"Gala","Freed from Desire"
73,"Mae Stephens","If We Ever Broke Up"
74,"Keane","Somewhere Only We Know"
75,"Harry Styles","As It Was"
76,"Don Omar & Lucenzo","Danza Kuduro (feat. Lucenzo)"
77,"Francis Lai & Christian Gaubert","La leçon particulière (Bande originale du film "La leçon particulière")"
78,"Camila Cabello","Shameless"
79,"Stephen Sanchez","Until I Found You"
80,"Sade","Smooth Operator"
81,"Dua Lipa","Dance The Night"
82,"Summer Walker & NO1-NOAH","White Tee"
83,"Dominic Fike","Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition)"
84,"The Kolors","ITALODISCO"
85,"FIFTY FIFTY","Cupid"
86,"Crystal Castles","Kerosene"
87,"Miguel","Sure Thing"
88,"Eminem","Without Me"
89,"Uncle Waffles, Tony Duardo & Justin99","Yahyuppiyah (feat. Pcee, Eeque & Chley)"
90,"Don Omar","Bandoleros (feat. Tego Calderón)"
91,"The Weeknd, Playboi Carti & Madonna","Popular"
92,"Lewis Capaldi","Wish You The Best"
93,"Bailey Zimmerman & Dermot Kennedy","Won't Back Down (feat. YoungBoy Never Broke Again)"
94,"Eminem","Mockingbird"
95,"S3BZS","Montagem - Pr Funk"
96,"Chris Brown","Under The Influence"
97,"Byron Messia","Talibans"
98,"Tyler, The Creator","See You Again (feat. Kali Uchis)"
99,"Metro Boomin, Swae Lee, Lil Wayne & Offset","Annihilate (Spider-Man: Across the Spider-Verse)"
100,"SZA","Kill Bill"
101,"Misha Xramovi","Gaichite"
102,"Sam Ryder","Fought & Lost (feat. Brian May)"
103,"Jax Jones & Calum Scott","Whistle"
104,"Ed Sheeran","Perfect"
105,"Gotye","Somebody That I Used to Know (feat. Kimbra) [feat. Kimbra]"
106,"Creeds","Push Up"
107,"Marshmello & Farruko","Esta Vida"
108,"Rosa Linn","SNAP"
109,"Coolio","Gangsta's Paradise (feat. L.V.)"
110,"George Michael","Careless Whisper"
111,"Yahritza Y Su Esencia & Grupo Frontera","Frágil"
112,"Drake","Search & Rescue"
113,"Libianca","People (feat. Ayra Starr & Omah Lay)"
114,"Xcho","Ты и Я"
115,"The Weeknd","Die For You"
116,"Sia","Unstoppable"
117,"AriBeatz","MIRAGE (feat. Ozuna, Sfera Ebbasta & GIMS)"
118,"Aerosmith","Dream On"
119,"DENNIS & MC Kevin O Chris","Tá OK"
120,"ROSALÍA & Rauw Alejandro","BESO"
121,"Asake & Olamide","Amapiano"
122,"Zinoleesky","A1 (Feeling Disorder)"
123,"Wiz Khalifa","See You Again (feat. Charlie Puth)"
124,"Glass Animals","Heat Waves"
125,"Gesaffelstein","Aleph"
126,"Alec Benjamin","Let Me Down Slowly"
127,"Stephen Sanchez & Em Beihold","Until I Found You (Em Beihold Version)"
128,"Lana Del Rey","Say Yes To Heaven"
129,"Florence + the Machine","Dog Days Are Over"
130,"YG & The Notorious B.I.G.","Let's Ride (Trailer Anthem) [feat. Lambo4oe, Ty Dolla $ign & Bone Thugs-N-Harmony]"
131,"The Weeknd","After Hours"
132,"Sam Smith & Kim Petras","Unholy"
133,"Farruko","Pepas"
134,"Spyro & Tiwa Savage","Who Is Your Guy? (Remix)"
135,"Jakone & SCIRENA","По весне"
136,"Kravz & Гио ПиКа","Где прошла ты"
137,"OneRepublic","I Ain't Worried"
138,"JIN","Yours"
139,"Heuss L'enfoiré","Moulaga (feat. JUL) [Sped up]"
140,"Taylor Swift","cardigan"
141,"Post Malone & Swae Lee","Sunflower (Spider-Man: Into the Spider-Verse)"
142,"R3HAB, Inna & Sash!","Rock My Body"
143,"Rae Sremmurd","Not So Bad (Leans Gone Cold)"
144,"LINKIN PARK","Lost"
145,"Kim Petras & Nicki Minaj","Alone"
146,"Black Eyed Peas & Daddy Yankee","BAILAR CONTIGO"
147,"Beyoncé & Shakira","Beautiful Liar"
148,"Fedez, Annalisa & Articolo 31","DISCO PARADISE"
149,"Elton John & Dua Lipa","Cold Heart (PNAU Remix)"
150,"NLO","Танцы"
151,"Roar","Christmas Kids"
152,"Oliver Tree & Robin Schulz","Miss You"
153,"SZA","Snooze"
154,"Ohboyprince","Bounce When She Walk (feat. Mykfresh & GwallaGangSpec)"
155,"Ricchi & Poveri","Sarà Perché Ti Amo"
156,"Taylor Swift","Anti-Hero"
157,"G Herbo","My City (feat. 24kGoldn & Kane Brown)"
158,"Manu Chao","Me Gustas Tu"
159,"Elissa","Men Inaya Di"
160,"The Irrepressibles","In This Shirt"
161,"Fuerza Regida","TQM"
162,"TONI, Andro, ELMAN & MONA","Зари"
163,"PinkPantheress & Ice Spice","Boy's a liar, Pt. 2"
164,"Edward Maya & Vika Jigulina","Stereo Love"
165,"Feid & Young Miko","Classy 101"
166,"Switch Disco & Ella Henderson","REACT"
167,"Pure Negga","Cnv Sound, Vol. 14"
168,"Stray Kids","S-Class"
169,"Erika Lundmoen","Яд"
170,"Redbone","Come and Get Your Love"
171,"Eminem","Superman (feat. Dina Rae)"
172,"Sebastián Yatra, Manuel Turizo & Beéle","VAGABUNDO"
173,"Mary J. Blige","Family Affair"
174,"Claude","Ladada (Mes Derniers Mots)"
175,"Victony, Rema & Tempoe","Soweto (feat. Don Toliver)"
176,"Jorja Smith","Little Things"
177,"a-ha","Take On Me"
178,"uLazi","yey (feat. Infinity MusiQ)"
179,"Passenger","Let Her Go"
180,"Young Nudy","Peaches & Eggplants (feat. 21 Savage)"
181,"Favela Vibes","FORTE FORTE DE LACOSTE"
182,"Yandel & Feid","Yandel 150"
183,"Jay Wheeler, Dei V & Hades66","Pacto (feat. Luar La L)"
184,"FILV & Emma Peters","Clandestina (feat. Edmofo) [JVSTIN Remix]"
185,"Stromae","Alors on danse"
186,"imase","NIGHT DANCER"
187,"Kendrick Lamar","United In Grief"
188,"Latto","Put It On Da Floor Again (Continued) [feat. Cardi B]"
189,"Kanye West","I Wonder"
190,"Jazzy","Giving Me"
191,"Heuss L'enfoiré","Moulaga (feat. JUL)"
192,"Imagine Dragons","Bones"
193,"RADWIMPS","Suzume (feat. Toaka)"
194,"Olamide & Asake","New Religion"
195,"Xojiakbar Ruzmetov","Yor ishqida"
196,"Baby Keem & Kendrick Lamar","The Hillbillies"
197,"MATTEØ","Panama"
198,"Akon","Lonely"
199,"Mr.Kitty","After Dark"
200,"Vance Joy","Riptide"
